noun_id;noun;verbs
0;laptop;['turn on', 'turn off', 'watch', 'read', 'use', 'write']
1;bottle;['grab', 'drink', 'fill']
2;mug-cup;['grab', 'drink', 'fill', 'wash']
3;door;['open', 'close']
4;shoes;['grab', 'take off', 'put on', 'wash']
5;soap_liquid;['wash', 'put']
6;tap;['fill', 'open', 'close', 'wash', 'drink']
7;knife-spoon-fork;['eat', 'wash', 'grab']
8;dish;['eat', 'wash', 'cook', 'grab']
9;food-snack;['eat', 'cook']
10;person;['greet', 'help']
11;towel;['wash', 'dry', 'laundry']
12;tv;['watch', 'turn on', 'turn off']
13;tv_remote;['grab', 'turn on', 'turn off']
14;cloth;['get dress', 'wear', 'laundry']
15;container;['grab', 'put in', 'take', 'put in']
16;oven-stove;['cook', 'clean', 'heat', 'adjust', 'turn off', 'turn on']
17;pan;['cook', 'wash', 'heat']
18;book;['read', 'write']
19;washer-dryer;['wash', 'laundry', 'turn off', 'turn on']
